"region"	"celltype"	"number"	"ANNOT"	"sum_cells"
"424"	"sg0"	"MUSci"	1	"muscle"	4
"425"	"sg1"	"MUSac-neuDy"	0	"muscle"	4
"426"	"sg1"	"MUSobA-mlpp"	0	"muscle"	4
"427"	"sg1"	"MUSobP-M"	0	"muscle"	4
"428"	"sg1"	"MUSchae-notAre"	0	"muscle"	4
"429"	"sg1"	"MUSpl"	0	"muscle"	4
"430"	"sg1"	"MUSci"	0	"muscle"	4
"431"	"sg2"	"MUSac-neuDy"	2	"muscle"	4
"432"	"sg2"	"MUSobA-mlpp"	0	"muscle"	4
"433"	"sg2"	"MUSobP-M"	2	"muscle"	4
"434"	"sg2"	"MUSchae-notAre"	2	"muscle"	4
"435"	"sg2"	"MUSpl"	0	"muscle"	4
"436"	"sg2"	"MUSci"	0	"muscle"	4
"437"	"sg3"	"MUSac-neuDy"	2	"muscle"	4
"438"	"sg3"	"MUSobA-mlpp"	4	"muscle"	4
"439"	"sg3"	"MUSobP-M"	2	"muscle"	4
"440"	"sg3"	"MUSchae-notAre"	2	"muscle"	4
"441"	"sg3"	"MUSpl"	0	"muscle"	4
"442"	"sg3"	"MUSci"	0	"muscle"	4
"443"	"pyg"	"MUSac-neuDy"	0	"muscle"	4
"444"	"pyg"	"MUSobA-mlpp"	0	"muscle"	4
"445"	"pyg"	"MUSobP-M"	0	"muscle"	4
"446"	"pyg"	"MUSchae-notAre"	0	"muscle"	4
"447"	"pyg"	"MUSpl"	0	"muscle"	4
"448"	"pyg"	"MUSci"	0	"muscle"	4
"449"	"head"	"MUStri"	2	"muscle"	2
"450"	"head"	"MUSmed"	2	"muscle"	2
"451"	"peristomium"	"MUStri"	0	"muscle"	2
