"region"	"celltype"	"number"	"SN_MN_IN"	"sum_cells"
"272"	"peristomium"	"SN-NS16"	0	"Sensory neuron"	2
"273"	"peristomium"	"SNadNS22"	0	"Sensory neuron"	2
"274"	"peristomium"	"SNblunt"	0	"Sensory neuron"	2
"275"	"peristomium"	"SNbronto"	0	"Sensory neuron"	2
"276"	"peristomium"	"SNpygM"	0	"Sensory neuron"	2
"277"	"peristomium"	"SN-DLSO1.1NP"	0	"Sensory neuron"	2
"278"	"peristomium"	"SNtorii"	0	"Sensory neuron"	2
"279"	"peristomium"	"SNtrpa"	0	"Sensory neuron"	2
"280"	"sg0"	"SNnuchBx"	0	"Sensory neuron"	2
"281"	"sg0"	"SNgolden"	0	"Sensory neuron"	2
"282"	"sg0"	"SNhorn"	0	"Sensory neuron"	2
"283"	"sg0"	"SNhook"	0	"Sensory neuron"	2
"284"	"sg0"	"SNlasso"	0	"Sensory neuron"	2
"285"	"sg0"	"SNMIP-vc"	0	"Sensory neuron"	2
"286"	"sg0"	"SNmus"	0	"Sensory neuron"	2
"287"	"sg0"	"SNantlerPDF"	0	"Sensory neuron"	2
"288"	"sg0"	"SNPDF-dc"	0	"Sensory neuron"	2
"289"	"sg0"	"SN0DLSO1.2-4"	0	"Sensory neuron"	2
"290"	"sg0"	"SN-DLSO1.2-1"	0	"Sensory neuron"	2
"291"	"sg0"	"eyespot-PRCR3"	0	"Sensory neuron"	2
"292"	"sg0"	"eyespot-PRCR1"	0	"Sensory neuron"	2
"293"	"sg0"	"MS4"	0	"Sensory neuron"	2
"294"	"sg0"	"MS3"	0	"Sensory neuron"	2
"295"	"sg0"	"MS5"	0	"Sensory neuron"	2
"296"	"sg0"	"SN-ASTC"	0	"Sensory neuron"	2
"297"	"sg0"	"SN-DLSO3-PDF"	0	"Sensory neuron"	2
"298"	"sg0"	"SN-MIP4"	0	"Sensory neuron"	2
"299"	"sg0"	"SN-MIP1"	0	"Sensory neuron"	2
"300"	"sg0"	"SN-WLD"	0	"Sensory neuron"	2
"301"	"sg0"	"SNbicil"	0	"Sensory neuron"	2
"302"	"sg0"	"hPUc1"	0	"Sensory neuron"	2
"303"	"sg0"	"pygCirrusPUSM"	0	"Sensory neuron"	2
"304"	"sg0"	"SN-DLSO1.0"	0	"Sensory neuron"	2
"305"	"sg0"	"SN-NS1"	0	"Sensory neuron"	2
"306"	"sg0"	"SN-NS3"	0	"Sensory neuron"	2
"307"	"sg0"	"SN-NS15"	0	"Sensory neuron"	2
"308"	"sg0"	"SNPDF-pyg"	0	"Sensory neuron"	2
"309"	"sg0"	"SN-NS22"	0	"Sensory neuron"	2
"310"	"sg0"	"SN-NS5"	0	"Sensory neuron"	2
"311"	"sg0"	"SN-NS17"	0	"Sensory neuron"	2
"312"	"sg0"	"SN-NS19"	0	"Sensory neuron"	2
"313"	"sg0"	"SN-NS20"	0	"Sensory neuron"	2
"314"	"sg0"	"SN-NS29"	0	"Sensory neuron"	2
"315"	"sg0"	"SN-NS27"	0	"Sensory neuron"	2
"316"	"sg0"	"SN-NS18"	0	"Sensory neuron"	2
"317"	"sg0"	"SN-NS16"	0	"Sensory neuron"	2
"318"	"sg0"	"SNadNS22"	0	"Sensory neuron"	2
"319"	"sg0"	"SNblunt"	0	"Sensory neuron"	2
"320"	"sg0"	"SNbronto"	0	"Sensory neuron"	2
"321"	"sg0"	"SNpygM"	0	"Sensory neuron"	2
"322"	"sg0"	"SN-DLSO1.1NP"	0	"Sensory neuron"	2
"323"	"sg0"	"SNtorii"	0	"Sensory neuron"	2
"324"	"sg0"	"SNtrpa"	0	"Sensory neuron"	2
"325"	"sg1"	"SNnuchBx"	0	"Sensory neuron"	2
"326"	"sg1"	"SNgolden"	0	"Sensory neuron"	2
"327"	"sg1"	"SNhorn"	0	"Sensory neuron"	2
"328"	"sg1"	"SNhook"	0	"Sensory neuron"	2
"329"	"sg1"	"SNlasso"	0	"Sensory neuron"	2
"330"	"sg1"	"SNMIP-vc"	0	"Sensory neuron"	2
"331"	"sg1"	"SNmus"	0	"Sensory neuron"	2
"332"	"sg1"	"SNantlerPDF"	0	"Sensory neuron"	2
"333"	"sg1"	"SNPDF-dc"	0	"Sensory neuron"	2
"334"	"sg1"	"SN0DLSO1.2-4"	0	"Sensory neuron"	2
"335"	"sg1"	"SN-DLSO1.2-1"	0	"Sensory neuron"	2
"336"	"sg1"	"eyespot-PRCR3"	0	"Sensory neuron"	2
"337"	"sg1"	"eyespot-PRCR1"	0	"Sensory neuron"	2
"338"	"sg1"	"MS4"	1	"Sensory neuron"	2
"339"	"sg1"	"MS3"	0	"Sensory neuron"	2
