"pre_skid"	"names"	"presyn_class"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"206"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"207"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"208"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"209"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"210"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"211"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"212"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"213"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"214"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"215"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"216"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"217"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"218"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"219"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"220"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"221"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"222"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"223"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"224"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"225"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"226"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"227"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"228"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"229"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"230"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"231"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"232"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"233"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"234"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"235"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"236"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"237"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"238"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"239"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"240"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"241"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"242"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"243"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"244"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"245"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"246"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"247"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"248"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"249"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"250"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"251"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"252"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"253"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"254"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"255"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"256"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"257"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"258"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"259"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"260"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"261"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"262"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"263"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"264"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"265"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"266"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"267"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"268"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"269"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"270"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"271"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"272"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"273"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"274"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"275"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"276"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"277"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"278"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"279"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"280"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"281"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"282"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"283"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"284"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"285"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"286"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"287"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"288"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"289"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"290"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"291"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"292"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"293"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"294"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"295"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"296"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"297"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"298"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"299"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"300"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"301"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"302"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"303"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"304"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"305"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"306"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"307"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"308"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"309"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"310"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"311"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
"312"	1277759	"cioMNcover_l2"	"MN"	"effector"	205	"#0072B2"	205
