"presynaptic"	"postsynaptic"	"synapses"
"589"	"IN1 left"	"pygCirrusPUSM"	0
"590"	"IN1 right"	"pygCirrusPUSM"	0
"591"	"IN1 left"	"hCirrusPU"	0
"592"	"IN1 right"	"hCirrusPU"	0
"593"	"IN1 left"	"parapodPU"	0
"594"	"IN1 right"	"parapodPU"	0
"595"	"IN1 left"	"hPU"	0
"596"	"IN1 right"	"hPU"	0
"597"	"IN1 left"	"dsoPU"	0
"598"	"IN1 right"	"dsoPU"	0
"599"	"IN1 left"	"pygCirrusPU"	0
"600"	"IN1 right"	"pygCirrusPU"	0
"601"	"IN1 left"	"hPU2l-asymPDF"	0
"602"	"IN1 right"	"hPU2l-asymPDF"	0
"603"	"IN1 left"	"hCR"	0
"604"	"IN1 right"	"hCR"	0
"605"	"IN1 left"	"ventralpygCR"	0
"606"	"IN1 right"	"ventralpygCR"	0
"607"	"IN1 left"	"doCRunp"	0
"608"	"IN1 right"	"doCRunp"	0
"609"	"IN1 left"	"SN-DLSO1.0"	0
"610"	"IN1 right"	"SN-DLSO1.0"	0
"611"	"IN1 left"	"INdc"	0
"612"	"IN1 right"	"INdc"	0
"613"	"IN1 left"	"INbackcross"	0
"614"	"IN1 right"	"INbackcross"	0
"615"	"IN1 left"	"MNcommUpL"	0
"616"	"IN1 right"	"MNcommUpL"	0
"617"	"IN1 left"	"MNob-ipsi"	0
"618"	"IN1 right"	"MNob-ipsi"	0
"619"	"IN1 left"	"INbiaxLeg"	0
"620"	"IN1 right"	"INbiaxLeg"	0
"621"	"IN1 left"	"INbiaxH"	0
"622"	"IN1 right"	"INbiaxH"	0
"623"	"IN1 left"	"SN-NS1"	0
"624"	"IN1 right"	"SN-NS1"	0
"625"	"IN1 left"	"SN-NS3"	0
"626"	"IN1 right"	"SN-NS3"	0
