"left"	"right"	"correlation"
"223"	"IN1 left"	"INarc1 right"	-0.0121229791584451
"224"	"IN1 left"	"INarc2 right"	0.0871084730519799
"225"	"IN1 left"	"INsn right"	-0.0183567054841388
"226"	"IN1 left"	"INrope right"	-0.0170345426675316
"227"	"IN1 left"	"Loop right"	-0.0157651634487404
"228"	"IN1 left"	"INCM right"	-0.0145663223223049
"229"	"IN1 left"	"MNspider-ant right"	-0.0117245173949664
"230"	"IN1 left"	"MNspider-post right"	-0.0102802083156976
"231"	"IN1 left"	"MNbiramous right"	-0.00747769417739468
"232"	"IN1 left"	"MNring right"	-0.0150747022384123
"233"	"IN1 left"	"MNcrab right"	-0.0150447115741966
"234"	"IN1 left"	"MNhose right"	-0.00819135045917545
"235"	"IN1 left"	"MNbow right"	0.00379409443709119
"236"	"IN1 left"	"MNwave right"	-0.00995488586062011
"237"	"IN1 left"	"MNacicX right"	-0.010177418582601
"238"	"IN1 left"	"INchaeMech right"	-0.0112580789973267
"239"	"IN1 left"	"chaeMech right"	-0.0114600536065272
"240"	"IN1 left"	"INFVa-pyg right"	-0.0108078831865641
"241"	"IN1 left"	"INsplitCR right"	-0.0135061908444775
"242"	"IN1 left"	"INsplitCRATO right"	-0.010557260196277
"243"	"IN1 left"	"INMC3 right"	0.000446723559493509
"244"	"IN1 left"	"INbiax right"	0.00234429139128302
"245"	"IN1 left"	"INsplitPB-RF/Ya right"	-0.0129985479417599
"246"	"IN1 left"	"INsplitPBant right"	-0.0113256668224931
"247"	"IN1 left"	"INsplitPB right"	-0.0163964223539886
"248"	"IN1 left"	"PB right"	-0.00336918208737975
"249"	"IN1 left"	"interparaPM1 right"	-0.00940268671584479
"250"	"IN1 left"	"cioMNcover right"	0.00161142559797407
"251"	"IN1 left"	"INsplitPUh right"	-0.0158926347657605
"252"	"IN1 left"	"MN3 right"	-0.00296635465377912
"253"	"IN1 left"	"MN1 right"	-0.00982048337158842
"254"	"IN1 left"	"MN2 right"	-0.0148623569071371
"255"	"IN1 left"	"MC3cover right"	-0.0144135259820729
"256"	"IN1 left"	"antPUc right"	-0.00865416454253141
"257"	"IN1 left"	"spinPU right"	-0.0117245173949664
"258"	"IN1 left"	"trochPU right"	-0.0124473671286644
"259"	"IN1 left"	"hPUc1 right"	-0.00755623766771567
"260"	"IN1 left"	"pygCirrusPUSM right"	-0.0117740018028435
"261"	"IN1 left"	"hCirrusPU right"	-0.000127741706679405
"262"	"IN1 left"	"parapodPU right"	-0.00861129738622736
"263"	"IN1 left"	"hPU right"	0.0615940138667245
"264"	"IN1 left"	"dsoPU right"	-0.0157651634487404
"265"	"IN1 left"	"pygCirrusPU right"	-0.0115272327900982
"266"	"IN1 left"	"hCR right"	0.0182028214434993
"267"	"IN1 left"	"ventralpygCR right"	0.0244796677419542
"268"	"IN1 left"	"SN-DLSO1.0 right"	-0.00933138053214756
"269"	"IN1 left"	"INdc right"	0.0137869343159532
"270"	"IN1 left"	"INbackcross right"	0.102404563643546
"271"	"IN1 left"	"MNcommUpL right"	-0.00571380948308152
"272"	"IN1 left"	"MNob-ipsi right"	-0.00724587918526598
"273"	"IN1 left"	"INbiaxLeg right"	-0.021063570822416
"274"	"IN1 left"	"INbiaxH right"	-0.00787727744049896
"275"	"IN1 left"	"SN-NS1 right"	-0.00882474762162959
"276"	"IN1 left"	"SN-NS3 right"	NA
