"names"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"212"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"213"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"214"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"215"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"216"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"217"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"218"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"219"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"220"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"221"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"222"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"223"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"224"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"225"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"226"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"227"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"228"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"229"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"230"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"231"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"232"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"233"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"234"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"235"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"236"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"237"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"238"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"239"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"240"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"241"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"242"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"243"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"244"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"245"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"246"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"247"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"248"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"249"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"250"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"251"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"252"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"253"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"254"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"255"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"256"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"257"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"258"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"259"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"260"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"261"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"262"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"263"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"264"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"265"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"266"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"267"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"268"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"269"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"270"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"271"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"272"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"273"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"274"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"275"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"276"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"277"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"278"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"279"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"280"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"281"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"282"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"283"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"284"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"285"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"286"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"287"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"288"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"289"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"290"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"291"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"292"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"293"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"294"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"295"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"296"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"297"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"298"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"299"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"300"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"301"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"302"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"303"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"304"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"305"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"306"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"307"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"308"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"309"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"310"	"INrope_r1"	"SN"	123	"#CC79A7"	4
"311"	"INrope_r1"	"SN"	123	"#CC79A7"	4
"312"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"313"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"314"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"315"	"INrope_r1"	"n.a."	123	"#CC79A7"	9
"316"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"317"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"318"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"319"	"INrope_r1"	"SN"	123	"#CC79A7"	4
"320"	"INrope_r1"	"SN"	123	"#CC79A7"	4
"321"	"MN1_l"	"effector"	120	"#0072B2"	118
"322"	"MN1_l"	"effector"	120	"#0072B2"	118
"323"	"MN1_l"	"effector"	120	"#0072B2"	118
"324"	"MN1_l"	"effector"	120	"#0072B2"	118
