"annotation1"	"annotation2"	"number"
"450"	"neurosecretory_plexus"	"dopaminergic"	0
"451"	"mushroom body"	"ectoderm"	232
"452"	"mushroom body"	"episphere"	232
"453"	"mushroom body"	"segment_0"	0
"454"	"mushroom body"	"segment_1"	0
"455"	"mushroom body"	"segment_2"	0
"456"	"mushroom body"	"segment_3"	0
"457"	"mushroom body"	"torso"	0
"458"	"mushroom body"	"pygidium"	0
"459"	"mushroom body"	"neurosecretory_plexus"	10
"460"	"mushroom body"	"mushroom body"	232
"461"	"mushroom body"	"Apical_organ"	0
"462"	"mushroom body"	"Dorsal_sensory_organ"	0
"463"	"mushroom body"	"Dorsolateral_sense_organs"	0
"464"	"mushroom body"	"antenna"	0
"465"	"mushroom body"	"eyespot"	0
"466"	"mushroom body"	"mechanosensory_girdle"	2
"467"	"mushroom body"	"nuchal organ"	0
"468"	"mushroom body"	"Sensory neuron"	125
"469"	"mushroom body"	"sensory_motor_neuron"	0
"470"	"mushroom body"	"sensory_neurosecretory_neuron"	10
"471"	"mushroom body"	"interneuron"	102
"472"	"mushroom body"	"premotor"	9
"473"	"mushroom body"	"motorneuron"	0
"474"	"mushroom body"	"ciliomotors"	0
"475"	"mushroom body"	"rhabdomeric photoreceptor"	0
"476"	"mushroom body"	"ciliary photoreceptor"	0
"477"	"mushroom body"	"sensory_cilia"	51
"478"	"mushroom body"	"Uniciliated_penetrating_cell"	2
"479"	"mushroom body"	"Biciliated_penetrating_cell"	0
"480"	"mushroom body"	"Uniciliated_nonpenetrating_cell"	46
"481"	"mushroom body"	"Biciliated_nonpenetrating_cell"	3
"482"	"mushroom body"	"Multiciliated_penetrating_cell"	0
"483"	"mushroom body"	"dense cored vesicles"	68
"484"	"mushroom body"	"asymmetric neuron"	0
"485"	"mushroom body"	"biaxonal"	0
"486"	"mushroom body"	"decussating"	5
"487"	"mushroom body"	"commissural"	0
"488"	"mushroom body"	"ipsilateral"	18
"489"	"mushroom body"	"contralateral"	25
"490"	"mushroom body"	"pseudounipolar"	0
"491"	"mushroom body"	"descending"	17
"492"	"mushroom body"	"ascending"	0
"493"	"mushroom body"	"global_reach"	2
"494"	"mushroom body"	"head_trunk"	17
"495"	"mushroom body"	"siGOLD"	4
"496"	"mushroom body"	"glutamatergic"	0
"497"	"mushroom body"	"serotonergic"	0
"498"	"mushroom body"	"cholinergic"	0
"499"	"mushroom body"	"adrenergic"	0
"500"	"mushroom body"	"dopaminergic"	0
"501"	"Apical_organ"	"ectoderm"	44
"502"	"Apical_organ"	"episphere"	44
"503"	"Apical_organ"	"segment_0"	0
"504"	"Apical_organ"	"segment_1"	0
"505"	"Apical_organ"	"segment_2"	0
"506"	"Apical_organ"	"segment_3"	0
"507"	"Apical_organ"	"torso"	0
"508"	"Apical_organ"	"pygidium"	0
"509"	"Apical_organ"	"neurosecretory_plexus"	40
"510"	"Apical_organ"	"mushroom body"	0
"511"	"Apical_organ"	"Apical_organ"	44
"512"	"Apical_organ"	"Dorsal_sensory_organ"	0
"513"	"Apical_organ"	"Dorsolateral_sense_organs"	0
"514"	"Apical_organ"	"antenna"	0
"515"	"Apical_organ"	"eyespot"	0
"516"	"Apical_organ"	"mechanosensory_girdle"	0
"517"	"Apical_organ"	"nuchal organ"	0
"518"	"Apical_organ"	"Sensory neuron"	36
"519"	"Apical_organ"	"sensory_motor_neuron"	0
