"skid"	"partner"	"syn.count"	"num_nodes"	"connection_type"	"skeleton"
"200"	1560393	85530	11	7209	"postsynapse"	"with_soma"
"201"	344239	1300731	11	1682	"postsynapse"	"with_soma"
"202"	1282998	370978	11	13803	"postsynapse"	"with_soma"
"203"	1076839	1298426	11	21841	"postsynapse"	"with_soma"
"204"	936192	1274799	11	22170	"postsynapse"	"with_soma"
"205"	108826	590953	11	1234	"postsynapse"	"with_soma"
"206"	140828	1732111	11	8896	"postsynapse"	"with_soma"
"207"	206767	167671	11	1288	"postsynapse"	"with_soma"
"208"	397532	167671	11	1288	"postsynapse"	"with_soma"
"209"	206767	1285069	11	9062	"postsynapse"	"with_soma"
"210"	1294966	1277759	11	12205	"postsynapse"	"with_soma"
"211"	1731304	324793	11	2962	"postsynapse"	"with_soma"
"212"	1166300	1482574	11	2648	"postsynapse"	"with_soma"
"213"	1488194	1837982	11	3967	"postsynapse"	"with_soma"
"214"	1453547	494284	11	1478	"postsynapse"	"with_soma"
"215"	359783	1166300	11	10679	"postsynapse"	"with_soma"
"216"	1282992	144261	11	7614	"postsynapse"	"with_soma"
"217"	942233	359142	11	6745	"postsynapse"	"with_soma"
"218"	250842	252853	11	2525	"postsynapse"	"with_soma"
"219"	246584	252608	11	1737	"postsynapse"	"with_soma"
"220"	246584	252137	11	1969	"postsynapse"	"with_soma"
"221"	261398	1923672	11	2334	"postsynapse"	"with_soma"
"222"	520593	140828	11	6954	"postsynapse"	"with_soma"
"223"	520755	140828	11	6954	"postsynapse"	"with_soma"
"224"	1739384	1957108	11	1142	"postsynapse"	"with_soma"
"225"	1501795	1679615	11	2401	"postsynapse"	"with_soma"
"226"	1274799	1340899	11	2963	"postsynapse"	"with_soma"
"227"	837942	1130360	11	1508	"postsynapse"	"with_soma"
"228"	1345461	1064990	11	1296	"postsynapse"	"with_soma"
"229"	954910	1829164	11	3151	"postsynapse"	"with_soma"
"230"	1739384	1356178	11	1258	"postsynapse"	"with_soma"
"231"	1486591	2220688	11	1637	"postsynapse"	"with_soma"
"232"	1625884	1403656	11	2869	"postsynapse"	"with_soma"
"233"	37580	151847	10	843	"postsynapse"	"with_soma"
"234"	32142	27064	10	714	"postsynapse"	"with_soma"
"235"	113999	1292932	10	3146	"postsynapse"	"with_soma"
"236"	359142	366449	10	1333	"postsynapse"	"with_soma"
"237"	992139	1294986	10	18778	"postsynapse"	"with_soma"
"238"	1299789	1294986	10	18778	"postsynapse"	"with_soma"
"239"	1732111	1300731	10	1682	"postsynapse"	"with_soma"
"240"	633874	1302189	10	9378	"postsynapse"	"with_soma"
"241"	1560393	1302189	10	9378	"postsynapse"	"with_soma"
"242"	992401	1280027	10	19315	"postsynapse"	"with_soma"
"243"	1452348	1280027	10	19315	"postsynapse"	"with_soma"
"244"	1304990	987008	10	4801	"postsynapse"	"with_soma"
"245"	1732448	1560393	10	7904	"postsynapse"	"with_soma"
"246"	826675	411531	10	1335	"postsynapse"	"with_soma"
"247"	212664	1298426	10	21841	"postsynapse"	"with_soma"
"248"	992096	1298426	10	21841	"postsynapse"	"with_soma"
"249"	992337	1298426	10	21841	"postsynapse"	"with_soma"
"250"	992344	1298426	10	21841	"postsynapse"	"with_soma"
"251"	992455	1298426	10	21841	"postsynapse"	"with_soma"
"252"	944941	1274799	10	22170	"postsynapse"	"with_soma"
"253"	992429	1274799	10	22170	"postsynapse"	"with_soma"
"254"	183731	60061	10	6105	"postsynapse"	"with_soma"
"255"	188153	60061	10	6105	"postsynapse"	"with_soma"
"256"	198864	60061	10	6105	"postsynapse"	"with_soma"
"257"	1356253	1299267	10	1100	"postsynapse"	"with_soma"
"258"	180202	826675	10	6056	"postsynapse"	"with_soma"
"259"	212664	1285069	10	9062	"postsynapse"	"with_soma"
"260"	273055	1277759	10	12205	"postsynapse"	"with_soma"
"261"	1545349	1278903	10	2274	"postsynapse"	"with_soma"
"262"	1166300	1417810	10	2719	"postsynapse"	"with_soma"
"263"	1571286	185562	10	1784	"postsynapse"	"with_soma"
"264"	1725480	324793	10	2962	"postsynapse"	"with_soma"
"265"	955074	1569660	10	2459	"postsynapse"	"with_soma"
"266"	1333529	1569660	10	2459	"postsynapse"	"with_soma"
"267"	171166	1355372	10	11235	"postsynapse"	"with_soma"
"268"	1203965	1355372	10	11235	"postsynapse"	"with_soma"
"269"	246584	252853	10	2525	"postsynapse"	"with_soma"
"270"	248696	252608	10	1737	"postsynapse"	"with_soma"
"271"	248696	252137	10	1969	"postsynapse"	"with_soma"
"272"	1354979	1312731	10	2568	"postsynapse"	"with_soma"
"273"	1333311	1365232	10	1949	"postsynapse"	"with_soma"
"274"	1408867	386671	10	4440	"postsynapse"	"with_soma"
"275"	1308413	2015193	10	3181	"postsynapse"	"with_soma"
"276"	1312289	1342725	10	2560	"postsynapse"	"with_soma"
"277"	594344	108826	10	6586	"postsynapse"	"with_soma"
"278"	1299789	108826	10	6586	"postsynapse"	"with_soma"
"279"	1312289	1731062	10	2808	"postsynapse"	"with_soma"
"280"	1616645	1739198	10	2757	"postsynapse"	"with_soma"
"281"	1841743	1764464	10	1330	"postsynapse"	"with_soma"
"282"	1315028	1392970	10	2582	"postsynapse"	"with_soma"
"283"	1315028	1239327	10	5412	"postsynapse"	"with_soma"
"284"	1304924	1425347	10	1120	"postsynapse"	"with_soma"
"285"	1732095	2008640	10	2767	"postsynapse"	"with_soma"
"286"	1569102	1408867	10	3815	"postsynapse"	"with_soma"
"287"	1306608	1509512	10	2117	"postsynapse"	"with_soma"
"288"	1380863	1534321	10	1297	"postsynapse"	"with_soma"
"289"	1625884	1525235	10	1387	"postsynapse"	"with_soma"
"290"	1404567	1361174	10	2066	"postsynapse"	"with_soma"
"291"	1600760	1348770	10	1207	"postsynapse"	"with_soma"
"292"	22159	59671	9	696	"postsynapse"	"with_soma"
"293"	22159	37580	9	2747	"postsynapse"	"with_soma"
"294"	346796	24659	9	723	"postsynapse"	"with_soma"
"295"	284315	1292427	9	3751	"postsynapse"	"with_soma"
"296"	607961	1294986	9	18778	"postsynapse"	"with_soma"
"297"	774105	1309228	9	1430	"postsynapse"	"with_soma"
"298"	1275595	1292228	9	4444	"postsynapse"	"with_soma"
"299"	140828	370662	9	1131	"postsynapse"	"with_soma"
"300"	284315	113999	9	9176	"postsynapse"	"with_soma"
"301"	184928	1280027	9	19315	"postsynapse"	"with_soma"
"302"	578783	1280027	9	19315	"postsynapse"	"with_soma"
"303"	607961	1280027	9	19315	"postsynapse"	"with_soma"
"304"	992383	1280027	9	19315	"postsynapse"	"with_soma"
"305"	108826	411531	9	1335	"postsynapse"	"with_soma"
"306"	992365	1298426	9	21841	"postsynapse"	"with_soma"
"307"	1670429	1298426	9	21841	"postsynapse"	"with_soma"
"308"	1567189	161743	9	3951	"postsynapse"	"with_soma"
"309"	826675	590953	9	1234	"postsynapse"	"with_soma"
"310"	108173	16719	9	1640	"postsynapse"	"with_soma"
"311"	108826	57341	9	1207	"postsynapse"	"with_soma"
"312"	756864	1732111	9	8896	"postsynapse"	"with_soma"
"313"	108826	64258	9	3479	"postsynapse"	"with_soma"
"314"	1338468	1276040	9	965	"postsynapse"	"with_soma"
"315"	1345461	1371619	9	830	"postsynapse"	"with_soma"
"316"	167009	1285069	9	9062	"postsynapse"	"with_soma"
"317"	1280027	1613646	9	2390	"postsynapse"	"with_soma"
"318"	1613646	324793	9	2962	"postsynapse"	"with_soma"
"319"	1732697	1281060	9	1781	"postsynapse"	"with_soma"
"320"	1509512	1306608	9	2983	"postsynapse"	"with_soma"
"321"	277200	252853	9	2525	"postsynapse"	"with_soma"
"322"	251790	313716	9	2243	"postsynapse"	"with_soma"
"323"	251790	241978	9	1793	"postsynapse"	"with_soma"
"324"	273576	252137	9	1969	"postsynapse"	"with_soma"
"325"	1295517	386671	9	4440	"postsynapse"	"with_soma"
"326"	1525257	386671	9	4440	"postsynapse"	"with_soma"
"327"	1274053	1278697	9	2364	"postsynapse"	"with_soma"
"328"	1027978	1382729	9	2015	"postsynapse"	"with_soma"
"329"	1963755	1731062	9	2808	"postsynapse"	"with_soma"
"330"	1488194	1739198	9	2757	"postsynapse"	"with_soma"
"331"	1461417	1026501	9	2770	"postsynapse"	"with_soma"
"332"	1420457	1026962	9	3379	"postsynapse"	"with_soma"
"333"	1625586	955074	9	7944	"postsynapse"	"with_soma"
"334"	1739384	1361146	9	1719	"postsynapse"	"with_soma"
"335"	1829164	1361146	9	1719	"postsynapse"	"with_soma"
"336"	1545349	2033694	9	1899	"postsynapse"	"with_soma"
"337"	637265	1068584	9	1584	"postsynapse"	"with_soma"
"338"	1545349	1652177	9	3051	"postsynapse"	"with_soma"
"339"	1352396	1312505	9	2014	"postsynapse"	"with_soma"
"340"	1345461	1298898	9	1276	"postsynapse"	"with_soma"
"341"	1598752	1323773	9	1154	"postsynapse"	"with_soma"
"342"	1378190	1390749	9	2538	"postsynapse"	"with_soma"
"343"	1404314	1305492	9	2914	"postsynapse"	"with_soma"
"344"	1593030	1690429	9	1230	"postsynapse"	"with_soma"
"345"	1473202	1845305	9	2285	"postsynapse"	"with_soma"
"346"	1416388	1566960	9	2055	"postsynapse"	"with_soma"
"347"	1576129	2220688	9	1637	"postsynapse"	"with_soma"
"348"	55935	34044	8	2066	"postsynapse"	"with_soma"
"349"	359142	54090	8	1165	"postsynapse"	"with_soma"
"350"	37580	22159	8	2230	"postsynapse"	"with_soma"
"351"	1732111	1336723	8	3192	"postsynapse"	"with_soma"
"352"	284315	981467	8	2122	"postsynapse"	"with_soma"
"353"	113999	251790	8	3864	"postsynapse"	"with_soma"
"354"	1860886	1354406	8	684	"postsynapse"	"with_soma"
"355"	608173	1294986	8	18778	"postsynapse"	"with_soma"
"356"	992309	1294986	8	18778	"postsynapse"	"with_soma"
"357"	1328001	1294986	8	18778	"postsynapse"	"with_soma"
"358"	1343467	1276909	8	1262	"postsynapse"	"with_soma"
"359"	826675	1737105	8	1795	"postsynapse"	"with_soma"
"360"	60061	370978	8	13803	"postsynapse"	"with_soma"
"361"	1264498	113999	8	9176	"postsynapse"	"with_soma"
"362"	1313126	113999	8	9176	"postsynapse"	"with_soma"
"363"	180202	1302189	8	9378	"postsynapse"	"with_soma"
"364"	370978	1302189	8	9378	"postsynapse"	"with_soma"
"365"	759694	153151	8	2296	"postsynapse"	"with_soma"
"366"	542612	1280027	8	19315	"postsynapse"	"with_soma"
"367"	575319	1280027	8	19315	"postsynapse"	"with_soma"
"368"	575787	1280027	8	19315	"postsynapse"	"with_soma"
"369"	1294947	1280027	8	19315	"postsynapse"	"with_soma"
"370"	1285069	1560393	8	7904	"postsynapse"	"with_soma"
"371"	1732448	2015233	8	2317	"postsynapse"	"with_soma"
"372"	1359237	295849	8	4879	"postsynapse"	"with_soma"
"373"	542612	1298426	8	21841	"postsynapse"	"with_soma"
"374"	1298402	1298426	8	21841	"postsynapse"	"with_soma"
"375"	273055	1367387	8	1790	"postsynapse"	"with_soma"
"376"	1293484	161743	8	3951	"postsynapse"	"with_soma"
"377"	184928	60061	8	6105	"postsynapse"	"with_soma"
"378"	203433	60061	8	6105	"postsynapse"	"with_soma"
"379"	140828	57553	8	1189	"postsynapse"	"with_soma"
"380"	826675	16719	8	1640	"postsynapse"	"with_soma"
"381"	826675	1732111	8	8896	"postsynapse"	"with_soma"
"382"	113999	1301268	8	1527	"postsynapse"	"with_soma"
"383"	774105	827510	8	2529	"postsynapse"	"with_soma"
"384"	1114055	1285069	8	9062	"postsynapse"	"with_soma"
"385"	1204562	1489640	8	2728	"postsynapse"	"with_soma"
"386"	1026501	1837982	8	3967	"postsynapse"	"with_soma"
"387"	1331032	1354390	8	1095	"postsynapse"	"with_soma"
"388"	1306315	1355372	8	11235	"postsynapse"	"with_soma"
"389"	1366501	2008588	8	1253	"postsynapse"	"with_soma"
"390"	1349386	1324518	8	1242	"postsynapse"	"with_soma"
"391"	1303054	144261	8	7614	"postsynapse"	"with_soma"
"392"	250842	252608	8	1737	"postsynapse"	"with_soma"
"393"	261398	1365661	8	1198	"postsynapse"	"with_soma"
"394"	1365232	1923672	8	2334	"postsynapse"	"with_soma"
"395"	1312678	1312731	8	2568	"postsynapse"	"with_soma"
"396"	1611683	1443411	8	2629	"postsynapse"	"with_soma"
"397"	1383418	386671	8	4440	"postsynapse"	"with_soma"
"398"	1849324	386671	8	4440	"postsynapse"	"with_soma"
"399"	1630186	1348484	8	3683	"postsynapse"	"with_soma"
"400"	556399	140828	8	6954	"postsynapse"	"with_soma"
"401"	1488194	708069	8	2608	"postsynapse"	"with_soma"
"402"	1028395	108826	8	6586	"postsynapse"	"with_soma"
"403"	1348484	764615	8	2469	"postsynapse"	"with_soma"
"404"	1026501	1731062	8	2808	"postsynapse"	"with_soma"
"405"	1275135	1286644	8	762	"postsynapse"	"with_soma"
"406"	759694	1279563	8	2623	"postsynapse"	"with_soma"
"407"	1333311	2008663	8	3387	"postsynapse"	"with_soma"
"408"	1381937	955074	8	7944	"postsynapse"	"with_soma"
"409"	943540	1679615	8	2401	"postsynapse"	"with_soma"
"410"	1277150	1679615	8	2401	"postsynapse"	"with_soma"
"411"	1567204	1567189	8	3268	"postsynapse"	"with_soma"
"412"	1333529	1425347	8	1120	"postsynapse"	"with_soma"
"413"	1571286	1317564	8	920	"postsynapse"	"with_soma"
"414"	1068584	1130360	8	1508	"postsynapse"	"with_soma"
"415"	1376350	55057	8	3685	"postsynapse"	"with_soma"
"416"	1635545	1216549	8	2657	"postsynapse"	"with_soma"
"417"	1504587	1763749	8	1290	"postsynapse"	"with_soma"
"418"	1216549	1828100	8	1846	"postsynapse"	"with_soma"
"419"	1279584	1391222	8	2032	"postsynapse"	"with_soma"
"420"	1304924	1360565	8	1057	"postsynapse"	"with_soma"
"421"	1312289	445419	8	1922	"postsynapse"	"with_soma"
"422"	1366501	1732349	8	786	"postsynapse"	"with_soma"
"423"	1392567	1372913	8	2703	"postsynapse"	"with_soma"
"424"	1625586	1525235	8	1387	"postsynapse"	"with_soma"
"425"	1570785	1787398	8	1511	"postsynapse"	"with_soma"
"426"	1545016	1737305	8	676	"postsynapse"	"with_soma"
"427"	1626582	1295517	8	2221	"postsynapse"	"with_soma"
"428"	1504488	1366839	8	1393	"postsynapse"	"with_soma"
"429"	1633569	1738973	8	101	"postsynapse"	"with_soma"
"430"	113999	246584	7	4207	"postsynapse"	"with_soma"
"431"	40141	22159	7	2230	"postsynapse"	"with_soma"
"432"	1292427	1281939	7	1630	"postsynapse"	"with_soma"
"433"	1345703	1281939	7	1630	"postsynapse"	"with_soma"
"434"	54090	1273131	7	1630	"postsynapse"	"with_soma"
"435"	186240	85530	7	7209	"postsynapse"	"with_soma"
"436"	284315	251790	7	3864	"postsynapse"	"with_soma"
"437"	1272459	1332314	7	996	"postsynapse"	"with_soma"
"438"	992125	1294986	7	18778	"postsynapse"	"with_soma"
"439"	1204373	1294986	7	18778	"postsynapse"	"with_soma"
"440"	1280027	1294986	7	18778	"postsynapse"	"with_soma"
"441"	1355372	1294986	7	18778	"postsynapse"	"with_soma"
"442"	1333311	1405726	7	2880	"postsynapse"	"with_soma"
"443"	284315	370978	7	13803	"postsynapse"	"with_soma"
"444"	174256	1302189	7	9378	"postsynapse"	"with_soma"
"445"	84457	1280027	7	19315	"postsynapse"	"with_soma"
