"skid"	"annotation"	"id"	"uid"
"423"	342816	"fragmentum"	2069834	11
"424"	342816	"yyx"	1883308	13
"425"	350871	"fragmentum"	2069834	11
"426"	350871	"yyx"	1883308	13
"427"	353448	"fragmentum"	2069834	11
"428"	353448	"yyx"	1883308	13
"429"	353448	"piece_eyecircuit"	662029	10
"430"	358686	"fragmentum"	2069834	11
"431"	358686	"yyx"	1883308	13
"432"	365080	"fragmentum"	2069834	11
"433"	365080	"yyx"	1883308	13
"434"	365080	"piece_eyecircuit"	662029	10
"435"	365738	"connectome_old"	2447951	11
"436"	365738	"fragmentum"	2069834	11
"437"	365738	"yyx"	1883308	13
"438"	365738	"piece_eyecircuit"	662029	10
"439"	365791	"fragmentum"	2069834	11
"440"	365791	"yyx"	1883308	13
"441"	365791	"piece_eyecircuit"	662029	10
"442"	366145	"fragmentum"	2069834	11
"443"	366145	"yyx"	1883308	13
"444"	366145	"piece_eyecircuit"	662029	10
"445"	366270	"fragmentum"	2069834	11
"446"	366270	"yyx"	1883308	13
"447"	366270	"piece_eyecircuit"	662029	10
"448"	366394	"connectome_frag"	2454845	11
"449"	366394	"connectome"	2450493	11
"450"	366394	"connectome_old"	2447951	11
"451"	366394	"fragmentum"	2069834	11
"452"	366394	"yyx"	1883308	13
"453"	366394	"piece_eyecircuit"	662029	10
"454"	366521	"fragmentum"	2069834	11
"455"	366521	"yyx"	1883308	13
"456"	366521	"piece_eyecircuit"	662029	10
"457"	384630	"fragmentum"	2069834	11
"458"	384630	"yyx"	1883308	13
"459"	384630	"piece_eyecircuit"	662029	10
"460"	384957	"fragmentum"	2069834	11
"461"	384957	"yyx"	1883308	13
"462"	384957	"piece_eyecircuit"	662029	10
"463"	384976	"connectome_old"	2447951	11
"464"	384976	"fragmentum"	2069834	11
"465"	384976	"yyx"	1883308	13
"466"	384976	"piece_eyecircuit"	662029	10
"467"	385300	"connectome_old"	2447951	11
"468"	385300	"fragmentum"	2069834	11
"469"	385300	"yyx"	1883308	13
"470"	385300	"piece_eyecircuit"	662029	10
"471"	411509	"fragmentum"	2069834	11
"472"	411509	"yyx"	1883308	13
"473"	411509	"piece_eyecircuit"	662029	10
"474"	413546	"fragmentum"	2069834	11
"475"	413546	"yyx"	1883308	13
"476"	413546	"piece_eyecircuit"	662029	10
"477"	413568	"fragmentum"	2069834	11
"478"	413568	"yyx"	1883308	13
"479"	413568	"piece_eyecircuit"	662029	10
"480"	413613	"fragmentum"	2069834	11
"481"	413613	"yyx"	1883308	13
"482"	413613	"piece_eyecircuit"	662029	10
"483"	413716	"fragmentum"	2069834	11
"484"	413716	"yyx"	1883308	13
"485"	413716	"piece_eyecircuit"	662029	10
"486"	413751	"fragmentum"	2069834	11
"487"	413751	"yyx"	1883308	13
"488"	413751	"piece_eyecircuit"	662029	10
"489"	414173	"connectome_old"	2447951	11
"490"	414173	"fragmentum"	2069834	11
"491"	414173	"yyx"	1883308	13
"492"	414173	"piece_eyecircuit"	662029	10
"493"	414746	"fragmentum"	2069834	11
"494"	414746	"yyx"	1883308	13
"495"	414746	"piece_eyecircuit"	662029	10
"496"	421537	"connectome_frag"	2454845	11
"497"	421537	"connectome"	2450493	11
"498"	421537	"connectome_old"	2447951	11
"499"	421537	"fragmentum"	2069834	11
"500"	421537	"right_side"	2050453	11
"501"	421537	"fragment"	2029624	11
